Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,7,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:38:59.0,2024-05-09 09:39:30.0,SUCCESS,0.008611,2024-05-09 10:11:26.0,0
000QML0Z0000000001K4,Mapping_Test_VM,null,MTT_TEST,2,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-09 10:48:45.0,2024-05-09 10:49:02.0,ERROR,0.004722,2024-05-09 11:11:30.0,0
000QML0Z0000000001K4,Mapping_Test_VM,null,MTT_TEST,1,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-09 10:28:13.0,2024-05-09 10:28:28.0,ERROR,0.004167,2024-05-09 11:11:30.0,0
000QML0Z0000000001K4,Mapping_Test_VM,null,MTT_TEST,3,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-09 11:33:42.0,2024-05-09 11:34:02.0,SUCCESS,0.005556,2024-05-09 12:11:35.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,1,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.807108626198083,2024-05-09 13:52:39.0,2024-05-09 13:58:06.0,SUCCESS,0.090833,2024-05-09 14:11:22.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,2,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.770937437537478,2024-05-09 15:48:53.0,2024-05-09 15:54:35.0,SUCCESS,0.095,2024-05-09 16:11:32.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,6,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 17:05:19.0,2024-05-09 17:10:32.0,ERROR,0.086944,2024-05-09 17:11:39.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,5,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 16:53:16.0,2024-05-09 16:58:42.0,ERROR,0.090556,2024-05-09 17:11:39.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,8,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.442557442557443,2024-05-09 17:24:12.0,2024-05-09 17:29:27.0,SUCCESS,0.0875,2024-05-09 18:11:36.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,7,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 17:15:00.0,2024-05-09 17:20:26.0,ERROR,0.090556,2024-05-09 18:11:36.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,null,MAPPING,9,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 17:30:55.0,2024-05-09 17:36:13.0,SUCCESS,0.088333,2024-05-09 18:11:36.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,19,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.489404238304678,2024-05-10 02:29:09.0,2024-05-10 02:29:45.0,SUCCESS,0.01,2024-05-10 03:11:42.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,20,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-10 02:30:36.0,2024-05-10 02:30:52.0,SUCCESS,0.004444,2024-05-10 03:11:42.0,0
000QML170000000001FF,MT_Dynamic_Src_Tgt,,MAPPING,3,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,2.0131947221111557,2024-05-16 01:21:09.0,2024-05-16 01:26:54.0,SUCCESS,0.095833,2024-05-16 01:26:53.0,0
000QML170000000001FF,MT_Dynamic_Src_Tgt,,MAPPING,4,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.4217156568686262,2024-05-16 01:40:46.0,2024-05-16 01:46:04.0,SUCCESS,0.088333,2024-05-16 01:46:03.0,0
000QML0Z0000000001JC,Map_Flat_File_Source_To_Target,,MTT_TEST,9,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-17 11:38:48.0,2024-05-17 11:39:11.0,ERROR,0.006389,2024-05-17 11:39:11.0,0
000QML0Z0000000001JC,Map_Flat_File_Source_To_Target,,MTT_TEST,10,ppenthoi,,80bTjaasFejbEkQynNFnyT,0Gv5s5lKGlEgO8WUuDsX2Y,INWPF3M1V35-AAD,0.0,2024-05-17 11:39:37.0,2024-05-17 11:39:57.0,SUCCESS,0.005556,2024-05-17 11:39:56.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,13,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-20 11:46:41.0,2024-05-20 11:46:50.0,ERROR,0.0025,2024-05-20 11:46:50.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,14,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-20 11:51:54.0,2024-05-20 11:52:00.0,ERROR,0.001667,2024-05-20 11:51:59.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,15,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-20 11:55:08.0,2024-05-20 11:55:15.0,ERROR,0.001944,2024-05-20 11:55:15.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,16,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-20 11:58:15.0,2024-05-20 11:59:31.0,SUCCESS,0.021111,2024-05-20 11:59:30.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,17,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.002,2024-05-20 12:05:15.0,2024-05-20 12:10:30.0,SUCCESS,0.0875,2024-05-20 12:10:30.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,18,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-20 12:10:56.0,2024-05-20 12:13:10.0,ERROR,0.037222,2024-05-20 12:13:10.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,19,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-20 12:13:11.0,2024-05-20 12:18:17.0,SUCCESS,0.085,2024-05-20 12:18:17.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,20,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-20 12:18:39.0,2024-05-20 12:23:45.0,SUCCESS,0.085,2024-05-20 12:23:45.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,21,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.003999200159968006,2024-05-20 12:23:56.0,2024-05-20 12:29:00.0,ERROR,0.084444,2024-05-20 12:29:00.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,22,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-20 12:41:51.0,2024-05-20 12:46:56.0,ERROR,0.084722,2024-05-20 12:46:55.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,23,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.003999200159968006,2024-05-21 05:23:33.0,2024-05-21 05:27:51.0,ERROR,0.071667,2024-05-21 05:27:50.0,0
000QML0Z0000000001K1,MappingTask_Sleep,,MTT,24,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.001999600079984003,2024-05-21 05:27:57.0,2024-05-21 05:33:04.0,ERROR,0.085278,2024-05-21 05:33:04.0,0
000QML170000000001FJ,VGN_MT_Dynamic_Src_Tgt,,MAPPING,10,Test_DMT,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.4068745003996803,2024-05-22 08:36:47.0,2024-05-22 08:41:31.0,SUCCESS,0.078889,2024-05-22 08:41:31.0,0
000QML170000000001FF,MT_Dynamic_Src_Tgt,,MAPPING,5,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.2912252648410953,2024-05-22 08:38:18.0,2024-05-22 08:43:14.0,SUCCESS,0.082222,2024-05-22 08:43:14.0,0
